,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,svdpp,xgb_final,xgb_all_models
mape,34.18664797879744,35.04995544572911,34.31529261523028,35.02094499698424,35.02269653015042,34.49579925606254,35.01953535988152,35.03817913919887,33.96459009383038,35.084454867670644
predictions,[3.459748 3.459748 3.459748 ... 3.459748 3.459748 3.459748],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.4795575 3.4795575 3.4795575 ... 3.4795575 3.4795575 3.4795575],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.5057254 3.5057254 3.5057254 ... 3.5057254 3.5057254 3.5057254],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.58167938 3.58167938 3.58167938 ... 3.58167938 3.58167938 3.58167938],[3.4274592 3.4274592 3.4274592 ... 3.4274592 3.4274592 3.4274592],[3.5695438 3.5695438 3.5695438 ... 3.5695438 3.5695438 3.5695438]
rmse,1.0805751261666292,1.0730330260516174,1.0783527653540068,1.0726493739667242,1.072758832653683,1.0764382406737725,1.0726046873826458,1.0728491944183447,1.0852387786172835,1.0753087848761702
